SKU,NombreProducto,Ventas_Proyectadas_Regular,Ventas_Proyectadas_Cyber,Elasticidad_IA
113705,AGUAS EDT FRUTAS TROPICAIS 150ML MEX,2.2,2.9,-0.88
103155,FOTOEQ PROT SOL FAC LOC FPS50 50G LTM,3.5,5.7,-1.76
57351,NATURA HOMEM CLASSICO EDT 100ML LTM,2.0,3.6,-2.1
129799,EKOS SAB BAR MULTI REFR ANGT 4X100G,13.0,18.9,-1.22
116584,LUNA RADIANTE 75ML EDT ARG,2.1,3.2,-1.47
83323,KRISKA SHOCK EDT FEMININO 100ML LTM,23.2,26.0,-0.33
72179,TODODIA HID MAOS NOZPECA FPS 50ML NV,4.7,7.8,-1.81
135043,CHRONOS D ESSENCIA TRATAMENTO 100ML,2.4,3.5,-1.16
2825,TODODIA RF HID DES CORP FRU VER 400ML,17.2,20.3,-0.48
2819,TODODIA RF HID DES CORP FRAMBOE 400ML,16.8,19.3,-0.41
147434,LUMINA SPRAY HIDRA 150ML PS,3.7,5.9,-1.62
72981,EKOS DES HID CORP UCUUBA MANT ANGT 200G,4.9,6.4,-0.82
135068,NAT HOMEM ELO EDP LTM 100ML,2.4,4.1,-1.82
148421,LUMINA COND SERUM RECONS 100ML PS,4.8,6.4,-0.91
44171,ILIA NATURA FEMININO 50ML MO ARG,4.9,7.0,-1.13
191905,TODODIA DEO ROLL ON HOJAS L Y GUANÁBANA 70ML,9.7,14.1,-1.25
2831,TODODIA FRAMBOESA SAB EM BARRA 5X90G,5.8,8.6,-1.35
147449,LUMINA SH ANTIOLEOSIDADE 300ML ARG,3.9,5.3,-0.98
80969,EKOS POLPA HID MAOS UCUUBA 75G,17.6,29.5,-1.85
129797,EKOS SAB BAR MULTI ESFOLIA 4X100G,15.6,20.5,-0.85
148157,LUMINA RF SH MATIZACAO 300ML,14.8,27.5,-2.34
147427,LUMINA SERUM ANTIQUEDA 100ML TERC PS,7.7,12.5,-1.71
64746,HUMOR EDT PG PRIMEIRO JUST 75ML ARG,16.8,20.6,-0.61
64750,HUMOR PAZ E HUMOR EDT MASC 75ML ARG,3.7,7.2,-2.53
189398,KAIAK DES ROLLON URBE 75ML,15.4,22.1,-1.17
90175,FACES SABONETE GEL FACIAL ENERGY SHOT,8.0,14.1,-2.09
118996,EKOS RF EDT CASTANHA 150ML LTM,12.8,14.8,-0.43
119000,EKOS RF EDT PITANGA 150ML LTM,6.5,9.1,-1.09
97019,HOMEM DES SPRAY POTENCE 100ML LTM,20.0,30.4,-1.42
73575,EKOS PITANGA EDT PRETA FEM 150ML LTM,7.4,10.2,-1.03
164454,EKOS COND PATAUA 100ML LTM,10.0,8.2,0.49
114464,TODODIA SAB BARRA SORTIDOS 5X90G,18.5,26.2,-1.13
1897,HUMOR EDT BEIJA EU PG 75ML COL,17.4,22.3,-0.76
122499,EKOS OLEO FORT PATAUA NFV 60ML TERC LTM,15.1,18.7,-0.65
110192,UNA BASE SERUM NUDE ME 29N SCH,1.0,2.3,-3.24
111171,KAIAK CLAS MASC EDT 100ML COL,13.7,16.9,-0.65
